id,age,gender,study_hours,attendance,internet_access,sleep_hours,Score,course_1,course_2,course_3,course_4,course_5,course_6,sleep_quality_1,sleep_quality_2,study_method_1,study_method_2,study_method_3,study_method_4,facility_rating_1,facility_rating_2,exam_difficulty_1,exam_difficulty_2
1,17,1,2.78,92.9,1,7.4,58.9,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
2,23,2,3.37,64.8,1,4.6,54.8,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
3,22,1,7.88,76.8,1,8.5,90.3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
4,20,2,0.67,48.4,1,5.8,29.7,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
5,20,0,0.89,71.6,1,9.8,43.7,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
6,23,1,3.48,65.4,1,4.2,58.2,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
7,17,0,1.35,69.0,1,7.4,53.7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
8,22,1,5.48,51.1,1,8.2,47.3,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True
9,18,2,2.89,92.0,1,6.6,44.9,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False
10,17,1,6.77,44.8,1,9.8,77.7,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
11,21,0,5.99,86.9,1,5.8,63.2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
12,24,1,3.77,96.6,0,4.1,53.5,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
13,22,0,6.76,46.4,1,8.1,63.9,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False
14,23,0,0.81,66.0,1,7.1,34.1,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True
15,22,1,4.65,75.1,1,7.7,83.5,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
16,23,2,4.84,99.4,1,7.3,98.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
17,21,1,1.97,91.9,1,8.3,70.3,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
18,18,1,0.4,64.9,1,6.8,32.3,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True
19,23,0,4.28,98.1,1,4.4,56.2,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
20,20,1,4.11,59.9,1,4.3,49.3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
21,21,0,5.23,60.4,1,4.2,68.1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
22,19,2,1.7,70.4,1,9.8,52.1,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
23,18,1,1.44,86.8,1,9.7,47.1,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
24,24,0,7.82,51.5,1,6.3,84.8,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False
25,23,1,0.91,84.5,1,8.0,68.9,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
26,22,1,7.91,40.6,1,4.3,76.3,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
27,20,1,5.76,55.7,0,8.2,71.6,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
28,23,1,5.03,98.5,1,6.7,74.1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
29,21,0,2.72,79.4,1,7.0,56.6,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
30,20,2,6.94,67.8,1,4.6,49.2,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True
31,20,2,7.28,83.9,1,6.3,97.5,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
32,18,1,5.78,66.1,1,5.1,81.8,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
33,17,2,5.68,46.4,1,4.1,65.6,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
34,21,0,3.95,69.9,0,6.5,71.1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
35,24,0,0.62,97.3,1,4.6,60.3,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
36,17,2,7.91,56.4,1,5.1,81.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
37,23,0,0.12,43.2,0,5.8,37.3,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
38,23,1,3.96,84.5,1,6.7,52.0,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False
39,19,0,2.94,67.3,1,5.4,58.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,22,2,6.21,60.1,1,9.7,65.8,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
41,18,2,5.89,69.3,1,9.5,67.6,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
42,23,1,5.02,95.8,1,5.5,99.3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
43,22,2,0.6,55.0,1,6.7,33.6,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
44,19,1,1.89,52.0,1,7.6,35.5,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True
45,17,2,0.75,72.0,1,5.1,42.8,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
46,24,1,7.83,67.8,1,7.8,100.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,20,1,1.02,49.0,1,6.5,50.4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
48,24,2,7.74,74.8,1,4.2,74.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
49,22,0,0.9,74.5,1,5.5,30.9,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
50,23,1,6.9,76.3,1,5.1,75.9,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
51,23,1,4.6,64.8,1,8.9,75.3,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
52,18,1,6.65,57.4,1,7.0,88.7,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
53,19,1,5.07,59.7,1,5.1,73.6,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
54,20,2,6.15,90.1,1,7.4,76.8,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
55,20,1,5.85,77.5,0,6.6,64.9,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
56,17,1,2.08,63.9,1,6.6,47.2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
57,21,2,7.48,76.8,1,5.2,78.1,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False
58,18,2,5.15,61.0,1,7.8,77.8,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
59,22,1,1.62,91.8,0,8.9,66.9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
60,22,0,2.45,83.7,0,6.9,70.5,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True
61,24,0,4.26,46.1,1,4.9,57.2,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
62,22,0,7.05,43.4,1,5.6,75.5,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
63,19,1,6.37,42.0,1,5.9,62.8,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False
64,24,2,2.42,41.7,1,9.3,31.7,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
65,20,2,5.51,69.8,1,7.7,70.3,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
66,19,2,0.08,50.9,1,9.6,19.599,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
67,24,2,2.66,80.5,1,5.9,54.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
68,19,1,6.72,69.0,1,9.2,61.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
69,17,0,1.21,45.6,1,8.8,35.1,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
70,20,2,2.83,40.6,1,9.7,57.5,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
71,23,0,0.08,42.2,0,5.5,26.4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
72,18,2,0.19,72.0,1,9.7,45.3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
73,20,0,1.17,75.2,0,8.0,46.9,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
74,18,2,0.81,61.2,1,8.4,37.1,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
75,22,2,3.92,44.7,1,5.1,54.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
76,20,0,7.2,96.1,1,5.3,78.8,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
77,19,2,0.68,64.3,1,9.9,49.9,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
78,18,0,6.96,65.8,1,8.7,76.9,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
79,21,1,5.35,62.9,1,9.3,54.4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
80,22,0,1.35,43.6,1,5.6,28.3,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
81,24,2,2.32,82.6,1,7.0,53.1,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True
82,20,1,1.55,79.9,1,7.2,75.6,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
83,18,1,6.31,49.9,0,5.6,57.5,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
84,23,0,5.8,56.1,1,4.9,59.8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
85,22,0,2.44,72.8,1,5.1,51.3,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
86,22,0,0.43,62.6,1,5.9,23.9,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
87,17,0,1.35,99.4,1,6.5,48.1,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
88,19,0,5.04,69.8,1,4.1,65.3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
89,23,1,0.72,92.9,1,6.9,56.6,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True
90,23,1,4.29,52.3,1,7.2,79.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
91,20,2,4.9,73.4,1,6.9,79.9,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
